timestamp,image_path,score,note
2025-11-11 22:39:15,D:\plug\AirSim\Scripts\shot genie\ue_bridge\bridge\shooting\photo\center_composition.jpg,51.72,fallback_heuristic_brightness_contrast_face
2025-11-11 22:39:46,D:\plug\AirSim\Scripts\shot genie\ue_bridge\bridge\shooting\photo\center_composition.jpg,52.07,fallback_heuristic_brightness_contrast_face
